INFO:root:lr_a = 0.002987611518856283, lr_c = 0.004945899295333642 , lr_a_decay=0.8886029895377218 , lr_c_decay=0.9663822717942403, noise_scale = 0.2916608684688682 , batch_size = 69
INFO:root:Episode: 0, length: 74, reward: -756.04, ewma reward: -37.80, val loss: 5.46, act loss: 1.50
INFO:root:Episode: 20, length: 171, reward: -196.94, ewma reward: -193.51, val loss: 21.73, act loss: 4.79
INFO:root:Episode: 40, length: 201, reward: -43.99, ewma reward: -219.21, val loss: 14.09, act loss: 2.36
INFO:root:Episode: 60, length: 244, reward: -179.22, ewma reward: -172.09, val loss: 17.41, act loss: -11.40
INFO:root:Episode: 80, length: 263, reward: -56.19, ewma reward: -120.44, val loss: 25.35, act loss: -25.64
INFO:root:Episode: 100, length: 365, reward: 0.54, ewma reward: -65.61, val loss: 26.06, act loss: -61.50
INFO:root:Episode: 120, length: 614, reward: 89.39, ewma reward: -94.17, val loss: 36.24, act loss: -102.23
INFO:root:Episode: 140, length: 313, reward: -201.15, ewma reward: -60.68, val loss: 46.72, act loss: -123.23
INFO:root:Episode: 160, length: 323, reward: 187.66, ewma reward: 3.03, val loss: 63.96, act loss: -136.09
INFO:root:Episode: 180, length: 387, reward: -110.23, ewma reward: -9.03, val loss: 56.25, act loss: -168.05
INFO:root:Episode: 200, length: 1000, reward: -19.73, ewma reward: -73.62, val loss: 60.40, act loss: -194.01
INFO:root:Episode: 220, length: 310, reward: -100.68, ewma reward: -84.91, val loss: 50.68, act loss: -192.73
INFO:root:Episode: 240, length: 188, reward: -152.98, ewma reward: -118.48, val loss: 73.91, act loss: -189.37
INFO:root:Episode: 260, length: 1000, reward: -60.47, ewma reward: -94.99, val loss: 61.39, act loss: -183.23
INFO:root:Episode: 280, length: 1000, reward: -8.24, ewma reward: -57.17, val loss: 42.81, act loss: -168.78
INFO:root:Episode: 300, length: 423, reward: -113.96, ewma reward: -88.93, val loss: 33.78, act loss: -160.09
INFO:root:Episode: 320, length: 1000, reward: -44.12, ewma reward: -108.60, val loss: 31.17, act loss: -160.29
INFO:root:Episode: 340, length: 259, reward: -18.99, ewma reward: -37.85, val loss: 29.40, act loss: -143.28
INFO:root:Episode: 360, length: 151, reward: -28.18, ewma reward: 16.25, val loss: 39.34, act loss: -137.08
INFO:root:Episode: 380, length: 1000, reward: -42.78, ewma reward: -6.06, val loss: 31.72, act loss: -129.27
INFO:root:Episode: 400, length: 243, reward: -120.77, ewma reward: -62.71, val loss: 25.83, act loss: -119.64
INFO:root:Episode: 420, length: 1000, reward: -64.73, ewma reward: -85.41, val loss: 25.32, act loss: -107.31
INFO:root:Episode: 440, length: 1000, reward: 8.02, ewma reward: -100.64, val loss: 32.30, act loss: -107.77
INFO:root:Episode: 460, length: 95, reward: -25.38, ewma reward: -73.34, val loss: 25.66, act loss: -106.20
INFO:root:Episode: 480, length: 1000, reward: 2.79, ewma reward: -67.35, val loss: 30.75, act loss: -99.58
INFO:root:Episode: 500, length: 426, reward: -271.70, ewma reward: -119.33, val loss: 38.62, act loss: -96.35
INFO:root:Episode: 520, length: 188, reward: -191.48, ewma reward: -253.21, val loss: 43.87, act loss: -85.06
INFO:root:Episode: 540, length: 1000, reward: -53.40, ewma reward: -181.32, val loss: 41.27, act loss: -80.71
INFO:root:Episode: 560, length: 132, reward: 4.30, ewma reward: -48.62, val loss: 47.11, act loss: -79.67
INFO:root:Episode: 580, length: 282, reward: 189.53, ewma reward: -12.10, val loss: 44.37, act loss: -79.05
INFO:root:Episode: 600, length: 212, reward: -86.74, ewma reward: -37.72, val loss: 51.81, act loss: -78.79
INFO:root:Episode: 620, length: 360, reward: 250.14, ewma reward: 43.19, val loss: 37.30, act loss: -73.38
INFO:root:Episode: 640, length: 1000, reward: 141.83, ewma reward: 20.97, val loss: 37.08, act loss: -66.69
INFO:root:Episode: 660, length: 1000, reward: 92.29, ewma reward: 102.62, val loss: 38.26, act loss: -65.29
INFO:root:Running reward is now 120.05012129592106 and the total episode is 665.
INFO:root:lr_a = 0.007092080098430121, lr_c = 0.0026556612677209705 , lr_a_decay=0.8527205692057905 , lr_c_decay=0.8300755734523533, noise_scale = 0.34190921468061714 , batch_size = 221
INFO:root:Episode: 0, length: 103, reward: -305.46, ewma reward: -15.27, val loss: nan, act loss: nan
INFO:root:Episode: 20, length: 171, reward: -210.44, ewma reward: -252.58, val loss: 42.15, act loss: 5.95
INFO:root:Episode: 40, length: 384, reward: -124.49, ewma reward: -208.13, val loss: 23.19, act loss: -4.00
INFO:root:Episode: 60, length: 129, reward: -56.22, ewma reward: -173.95, val loss: 25.47, act loss: -12.14
INFO:root:Episode: 80, length: 205, reward: -554.89, ewma reward: -285.96, val loss: 30.32, act loss: -18.40
INFO:root:Episode: 100, length: 86, reward: -108.31, ewma reward: -187.22, val loss: 34.15, act loss: -26.80
INFO:root:Episode: 120, length: 153, reward: -98.86, ewma reward: -200.05, val loss: 38.35, act loss: -35.09
INFO:root:Episode: 140, length: 89, reward: -7.32, ewma reward: -131.59, val loss: 41.91, act loss: -42.77
INFO:root:Episode: 160, length: 353, reward: -226.96, ewma reward: -150.94, val loss: 37.92, act loss: -57.01
INFO:root:Episode: 180, length: 173, reward: -210.82, ewma reward: -173.49, val loss: 66.95, act loss: -82.01
INFO:root:Episode: 200, length: 139, reward: -87.30, ewma reward: -141.80, val loss: 74.25, act loss: -107.20
